id,name,mlabel_id,slabel_id,latitude,longitude,eat_in
1,阿英海產粥,1,1,25.0246242,121.5432538,TRUE
2,11PASTA Trattoria 食義_大安店,2,2,25.0244922,121.5427645,TRUE
3,發現義大利麵,2,2,25.0243009,121.5428034,TRUE
4,小姐姐麻辣食堂,1,13,25.0242153,121.5427947,TRUE
5,一分錢一分貨Moneycake車輪餅 科技大樓店,3,9,25.0239362,121.5429292,FALSE
6,松田日式飯糰,4,1,25.0239145,121.542929,FALSE
7,裸湯拉麵·雞白湯(和平店),5,5,25.0238159,121.5428149,TRUE
8,卡帛素食烘培‧義式廚房‧港式餐點 總店,6,1,25.0236612,121.542976,TRUE
9,貝倫烘焙餐坊 台北店,2,2,25.0233612,121.5429365,TRUE
10,湄賽雲泰料理,7,9,25.0233173,121.542981,TRUE
11,無尾熊雞蛋糕,3,8,25.0232725,121.5429585,FALSE
12,唯雞館,1,14,25.0232525,121.5429819,TRUE
13,老哥雞肉飯乾拌麵,1,14,25.0231887,121.5427861,TRUE
14,Barkers,8,1,25.0231059,121.5429397,TRUE
15,巧味快餐,1,10,25.0230551,121.5429156,TRUE
16,餃子酒場 晴屋,5,6,25.023034,121.542796,TRUE
17,新丼 和平店,5,9,25.0229292,121.5430114,TRUE
18,忠誠山東蔥油餅,3,11,25.0229361,121.5427861,FALSE
19,金鳳大飯店-和平科技,1,1,25.0229352,121.5427545,TRUE
20,搗飛豆花 tofu pudding 豆漿＆糖水豆花,3,10,25.0228962,121.5429263,TRUE
21,好義外PASTA家常義大利麵（台大店）,2,2,25.0228896,121.54276,TRUE
22,馬祖麵館（台大118巷店）,1,5,25.0227965,121.5429519,TRUE
23,滇味小廚,7,9,25.0228271,121.5428091,TRUE
24,ONE GOOD烤肉飯(大安店）,5,14,25.0227081,121.5427988,TRUE
25,煎恰恰粉漿蛋餅專賣店×滾鍋來即食鍋,9,3,25.0226616,121.5429631,TRUE
26,文哥 巷仔口米粉湯,1,3,25.0226197,121.5427975,TRUE
27,I’m Pasta 和平店,2,2,25.0224973,121.542779,TRUE
28,五九麵館,1,2,25.0224574,121.5429147,TRUE
29,笑嘻嘻港式現炒飯麵,1,5,25.0224172,121.5429075,TRUE
30,大易園現做早午餐,9,1,25.0223784,121.5429288,TRUE
31,憶馬當鮮 馬來西亞風味料理,7,10,25.022337,121.5429193,TRUE
32,鑫吉野烤肉飯-大安和平店（外送便當、團體餐盒）,1,1,25.022235,121.5429257,TRUE
33,李記水餃,1,15,25.0222021,121.5427889,TRUE
34,甜逗豆花-人氣銅板美食、手作下午茶團購甜品、甜湯推薦,3,10,25.0221443,121.5429225,TRUE
35,蔥燉牛肉麵,1,9,25.0221175,121.5427482,TRUE
36,林記海南雞飯(和平店)科技大樓美食 台科美食 台科外送美食 大安區美食 大安區美食外送,7,8,25.0220747,121.5429661,TRUE
37,二八麵堂,1,2,25.0219934,121.542907,TRUE
38,高和食堂,5,5,25.0219143,121.5428035,TRUE
39,師大第一腿-甄品味,1,1,25.0219093,121.5429068,TRUE
40,阿孟石碗燒河粉,7,6,25.0218586,121.5429563,TRUE
41,叮叮食堂,1,1,25.0218305,121.5429159,TRUE
42,伊桑雞腿總店,1,1,25.0217859,121.5429219,TRUE
43,蔬菓in,6,3,25.0216976,121.5429192,TRUE
44,Lilliane Bakery 莉莉安可頌烘焙專門店｜台大店,3,6,25.0216411,121.5426608,TRUE
45,郁見紅豆餅,3,9,25.0216322,121.5431323,FALSE
46,話一隻雞大安店,1,14,25.0219157,121.5431927,TRUE
47,壹之穴沾麵專門店,5,5,25.0221516,121.5431571,TRUE
48,香港三民燒臘復興店,1,4,25.022279,121.5431995,TRUE
49,小姊姊麻辣小屋,1,13,25.0224067,121.5432011,TRUE
50,貞有緣素食,6,3,25.0226458,121.5431885,TRUE
51,潭莊小卷米粉｜小卷米粉｜海鮮米粉｜台灣小吃｜澎湃海鮮｜鮮甜湯頭｜人氣美食推薦,1,3,25.0227887,121.5432014,TRUE
52,大安米粉湯,1,2,25.0234697,121.5432177,TRUE
53,Here café 大安店(咖啡、午晚餐、漢堡）,8,4,25.0240078,121.5432323,TRUE
54,光地•ヒカリチ（手作早午餐｜咖啡｜特色甜點｜三明治｜義大利麵｜舒肥雞溫沙拉）,9,1,25.0238599,121.5435713,TRUE
55,Mr.Smile 好吃雞排 復興店,10,2,25.0232629,121.5435716,FALSE
56,芝加哥比薩,2,1,25.0222665,121.5435347,TRUE
57,池先生(大安店）,7,10,25.0221749,121.5435367,TRUE
58,呈信鵝肉 科技大樓店,1,6,25.0248951,121.541613,TRUE
59,呷齁霸嘟嘟 Ba Du Du -大安區(早午餐|早餐|鍋燒麵)台大(附近早餐|早午餐)科技大樓(早午餐|早餐店),9,1,25.02485,121.5415722,TRUE
60,泰米香 Thaid. Thaifood,7,1,25.0234113,121.5412853,TRUE
61,早安嗎哪早午餐（小公園）,9,1,25.0229703,121.5411898,TRUE
62,願有記台大店,1,10,25.0227754,121.5426263,TRUE
63,四面八方,1,2,25.0226164,121.5426419,TRUE
64,親來食堂,1,10,25.0222386,121.5422961,TRUE
65,西村粉食서촌분식,11,3,25.0224472,121.5426486,TRUE
66,北方大陸餅,9,1,25.022264,121.5409749,TRUE
67,臺大黑飯糰,9,2,25.022182,121.5409796,TRUE
68,上穎牛肉麵 台大創始店,1,9,25.0221299,121.5413508,TRUE
69,韓喜堂,11,3,25.0221288,121.541621,TRUE
70,耍性子 Xai Xing Dé,12,1,25.0221515,121.5419529,TRUE
71,淺草日式飯糰,4,1,25.0221172,121.5421528,TRUE
72,陳記越南牛肉河粉,7,6,25.0221163,121.5423767,TRUE
73,微笑廚房洋食館,2,2,25.0221224,121.5425232,TRUE
74,蘇草salvia,2,2,25.0216421,121.5424404,TRUE
75,樂格閣貓咪餐廳（沒賣海南雞飯了）,7,10,25.0216606,121.5422577,TRUE
76,安好食 和平店,9,1,25.021664,121.5421349,TRUE
77,JJ's POKE & CAFE 2号店,4,2,25.021664,121.5420642,TRUE
78,96巷麵店,1,2,25.0231044,121.5408777,TRUE
79,摩斯漢堡 長興店,10,3,25.0174117,121.5450384,TRUE
80,男一快餐（我家廚房）,1,10,25.0159743,121.544724,TRUE
81,我家廚房早餐店,9,1,25.0158619,121.5447213,TRUE
82,轉角哥深夜食堂,10,2,25.0158221,121.5447313,TRUE
83,自助快餐,1,10,25.0148742,121.5471502,TRUE
84,雷記小吃店,1,5,25.016116,121.5434723,TRUE
85,Shallot 紅蔥餐館 台科店,2,2,25.0160511,121.5433743,TRUE
86,包子商行BAO SO HARD台科大店,3,11,25.0140627,121.5424622,FALSE
87,摩斯漢堡 台科大店,10,3,25.0140727,121.542671,TRUE
88,A華加湯滷味,1,13,25.0140417,121.5427227,TRUE
89,食味 溫州大餛飩,1,2,25.0139715,121.5426691,TRUE
90,小木屋鬆餅（台科大店）,3,6,25.0139235,121.5425111,TRUE
91,七樂燒臘,1,4,25.0139999,121.5427944,TRUE
92,李媽媽麵店,1,2,25.0139253,121.5427126,TRUE
93,高麗元,11,2,25.0138612,121.5428253,TRUE
94,涼麵自由吧,1,2,25.0137828,121.5427854,TRUE
95,雜貨店早餐,9,1,25.01046,121.5379559,TRUE
96,帝一味自助餐,1,10,25.0119079,121.5409457,TRUE
97,京都日式料理,5,9,25.0119653,121.5408686,TRUE
98,藝素佳素食,6,5,25.0120205,121.5408688,TRUE
99,天津蔥抓餅,3,11,25.0120689,121.5409434,TRUE
100,活力讚,9,1,25.0120452,121.541043,TRUE
101,豪享來,1,2,25.0119602,121.541108,TRUE
102,八方雲集(台科大店),1,15,25.0119165,121.5410276,TRUE
103,想聚 Mr.Jardeng,2,2,25.0126698,121.5359633,TRUE
104,塊雞師食務所 Achicken Firm,8,3,25.0127434,121.53599,TRUE
105,Shishlik Pita x Kebab 西西里克中東串燒（餐館店）,13,2,25.0128644,121.5358764,TRUE
106,公館麵線店,1,2,25.012858,121.5358301,TRUE
107,麥味登 北市台大店,9,1,25.0132493,121.5355537,TRUE
108,卜乘輕食滷味 總店,1,13,25.0134271,121.5354582,FALSE
109,菠蘿麵包 ぼろパン BOLO PAN 公館店,3,6,25.0141713,121.5346703,FALSE
110,麥當勞-台北公館餐廳,10,3,25.014231,121.5346063,TRUE
111,好雞匯鹹水雞-公館旗艦店,1,7,25.0144679,121.534272,FALSE
112,スシロー壽司郎 台北公館店,5,8,25.0145752,121.5341988,TRUE
113,CoCo壹番屋 公館台大店,5,7,25.0145808,121.5350849,TRUE
114,魯山人和風壽喜鍋物-台大店,1,8,25.012971,121.536381,TRUE
115,小蔬杭 絕對蔬食(台大二活店）,6,3,25.0127898,121.5367879,TRUE
116,SUBWAY 台大店,10,1,25.0130656,121.5365379,TRUE
117,雄記蔥抓餅,3,11,25.0134436,121.5353398,FALSE
118,小胖刈包,3,11,25.0133824,121.5353282,FALSE
119,劉記古早味蔥蛋餅蜜地瓜,3,11,25.0134681,121.5352866,FALSE
120,三時午咖哩屋,5,7,25.0137421,121.5350294,TRUE
121,公館酒釀湯圓,3,1,25.0158024,121.532876,TRUE
122,唐緹Tartine 公館店｜生日蛋糕｜麵包｜伴手禮盒,3,6,25.0158704,121.5328503,TRUE
123,2派克脆皮雞排 台大公館店,10,2,25.0159175,121.5326875,FALSE
124,摩斯漢堡台大公館店,10,3,25.0161961,121.5324964,TRUE
125,公館阿姨滷味-滷味/輕食/健康養生/平價美食,1,13,25.0164054,121.5322509,TRUE
126,雞soup |雞湯拉麵｜燒肉飯｜公館商圈｜,5,5,25.0165359,121.532095,TRUE
127,愛樂廚房,11,1,25.0164986,121.5321045,TRUE
128,新馬辣經典麻辣鍋-公館店,1,8,25.011975,121.5357848,TRUE
129,刁四麻辣燙（公館店）,1,13,25.0120322,121.5357408,TRUE
130,李記正客家魷魚羹,1,2,25.012112,121.5356806,TRUE
131,炎弟炒飯鐵板燒 - 公館店,5,11,25.0121035,121.535495,TRUE
132,大埔鐵板燒 公館店,5,11,25.0121906,121.535654,TRUE
133,公館臭臭鍋,1,8,25.0121598,121.5354614,TRUE
134,小飯館兒,1,5,25.0122075,121.5354191,TRUE
135,壹森泰食堂~師大第一腿(公館店）,7,1,25.0122685,121.5356061,TRUE
136,順園小館,1,5,25.012306,121.535557,TRUE
137,維綸麵食館,1,5,25.0123658,121.535523,TRUE
138,鍋in百元風味火鍋,1,8,25.0123615,121.5352812,TRUE
139,味自慢牛排,8,4,25.0124461,121.5355258,TRUE
140,狗一下居酒食堂-公館店,5,6,25.0125,121.5354449,TRUE
141,老王炸烤-公館店,10,2,25.0125742,121.5354041,TRUE
142,墨洋拉麵,5,5,25.0125833,121.5354677,TRUE
143,就醬爆-爆漿蔥油餅(公館店),3,11,25.0126347,121.5353416,TRUE
144,瑪德蓮小酒館,14,1,25.0126122,121.5351159,TRUE
145,艾茉蕾披薩店,2,1,25.012509,121.53574,TRUE
146,京阪豚骨拉麵,5,5,25.0126402,121.5357009,TRUE
147,公館小吃店,1,5,25.0126532,121.5356962,TRUE
148,小綠炸雞、烤甜甜圈,10,2,25.0126645,121.5356674,FALSE
149,朝天食堂（湯、飯、麵專賣）｜公館館美食,1,5,25.0126867,121.5356207,TRUE
150,一川鍋燒麵,1,2,25.0128656,121.535685,TRUE
151,米澤製麵YoUdon(台北公館店)-讚岐烏龍麵專門店,5,3,25.0129667,121.5358054,TRUE
152,阿里媽媽南洋料理,7,4,25.0128276,121.5355233,TRUE
153,橫綱屋炸蝦天婦羅,10,2,25.0128737,121.5355998,FALSE
154,黑丸關東煮,5,2,25.0129102,121.5355257,TRUE
155,威宇牛排 - 公館店,8,4,25.0129791,121.5351811,TRUE
156,晴光紅豆餅,3,9,25.0129949,121.5351373,FALSE
157,一階堂拉麵 公館店,5,5,25.0130637,121.5353865,TRUE
158,全素地瓜球,3,11,25.0130675,121.5351221,FALSE
159,通哥日式串燒,5,1,25.0131148,121.5349605,TRUE
160,龍哥無骨雞腿排,10,2,25.0130933,121.5350486,FALSE
161,無名雞蛋糕 （公館夜市 水源市場旁）,3,8,25.0132079,121.5350214,FALSE
162,公館VEGAN素食麻辣臭豆腐-No.54號攤,6,2,25.0132592,121.5350911,TRUE
163,公館麻油雞/藥燉排骨,1,11,25.0132644,121.5352984,TRUE
164,麻油雞,1,11,25.0132275,121.5350522,TRUE
165,章魚燒 蝦仁燒 玉米燒(51號攤),3,2,25.0133444,121.5351458,FALSE
166,楊記全麥營養潤餅捲,1,2,25.0132275,121.5351722,FALSE
167,魚你相聚獨享鍋,1,8,25.0133139,121.5345419,TRUE
168,大山東餅舖,3,11,25.0134438,121.534787,FALSE
169,野果小點,3,6,25.0135369,121.5346476,FALSE
170,阿郎鹽酥雞,10,2,25.0135997,121.5346673,FALSE
171,道楽製麵所,5,5,25.0132988,121.5340903,TRUE
172,阿二麻辣鹹水雞,1,7,25.0136535,121.5345348,FALSE
173,阿鸞手工法國麵包,12,1,25.0138904,121.5347762,FALSE
174,幸風豆花｜黑砂糖刨冰｜芋頭西米露甜點,3,10,25.0136616,121.5348464,TRUE
175,水源市場．63號攤自助餐（李家灶咖）,1,10,25.0136853,121.5349087,TRUE
176,索菲烤布蕾-公館店 / Sophia Crème Brûlée,3,6,25.0135188,121.534971,TRUE
177,JJ's POKE & CAFE 鮮魚沙拉飯,4,2,25.0134093,121.5342606,TRUE
178,妙觀音素食-公館汀州店,6,3,25.0135532,121.5342346,TRUE
179,公館清蒸肉圓,3,11,25.0136452,121.5340986,TRUE
180,喫尤平價鐵板燒 - 公館店,5,11,25.0138045,121.5342625,TRUE
181,轉轉發現義大利麵,2,2,25.0137276,121.5340481,TRUE
182,我家涼麵,1,2,25.0138959,121.534135,TRUE
183,龍潭豆花,3,10,25.01392,121.534102,TRUE
184,容城麻辣mini火鍋,1,8,25.0139677,121.5340248,TRUE
185,源士林粥品,1,1,25.0138681,121.5337916,TRUE
186,福二漢堡製造所,9,4,25.0140145,121.5340263,TRUE
187,泰國小館,7,1,25.014113,121.533806,TRUE
188,好呷拉麵 甜品吃到飽(公館)/原何家拉麵,5,5,25.0139872,121.5336346,TRUE
189,無鍋不樂,1,8,25.0140624,121.5343411,TRUE
190,The Alley One / 一弄（本店餐點都是當天新鮮製造，如營業時間內售完會提早打烊）,12,1,25.0140862,121.5343049,TRUE
191,泰豐味,7,1,25.0140854,121.5342368,TRUE
192,韓天閣,11,3,25.0142975,121.5342285,TRUE
193,三米三小館,1,1,25.0143171,121.5341418,TRUE
194,大盛豬排專門店,5,10,25.0143712,121.5338983,TRUE
195,公館食堂,12,1,25.0142834,121.5338619,TRUE
196,조씨네 소문난 기사식당 曹氏家司機食堂,11,2,25.0143441,121.5337546,TRUE
197,璽御堂 mabuxi tasty,5,12,25.0143994,121.5338453,TRUE
198,隱家拉麵 公館店,5,5,25.0146655,121.5334,TRUE
199,好螺嗦Haoluosuo螺螄粉專門台北公館店,1,12,25.0147431,121.5334062,TRUE
200,築本屋公館店,5,10,25.0147779,121.5336933,TRUE
201,公館必吃的素食漢堡Furger芙格漢堡(素食漢堡/潛艇堡),6,4,25.0148552,121.5338107,TRUE
202,中正｜燒肉政宗 YAKINIKU MASAMUNE,5,4,25.0149029,121.53364,TRUE
203,泰好吃泰國船麵,7,1,25.0138878,121.5334094,TRUE
204,鷹流東京醬油拉麵-蘭丸(公館店),5,5,25.0141524,121.5330824,TRUE
205,劉家水煎包,3,11,25.0145727,121.5331178,FALSE
206,珍記豬血糕,3,2,25.0147502,121.5330064,FALSE
207,馬辣頂級麻辣鍋 台北公館店,1,8,25.0144984,121.5328188,TRUE
208,雞泰 鹹水雞 | 泰式雞 （公館旗艦店）,1,7,25.0147314,121.5328485,FALSE
209,小方塊韓式可頌鬆餅甜點食驗室,3,6,25.0148433,121.5329516,FALSE
210,麻辣巴蕾,1,2,25.0148108,121.5327455,TRUE
211,老铁沒毛病酸菜魚,1,8,25.0148501,121.5326957,TRUE
212,台北公館胡椒餅,3,11,25.0148666,121.5327379,FALSE
213,炸雞大獅 北市公館店,10,2,25.0149221,121.5327484,TRUE
214,YU POKÉ-夏威夷生魚飯,4,2,25.0150018,121.5328371,TRUE
215,點來鮮 美食坊 磨豆咖啡,3,6,25.0150655,121.5328361,FALSE
216,南城泰式料理(公館店),7,1,25.0150805,121.5323689,TRUE
217,費斯達香草洋食館,2,2,25.0152137,121.5326005,TRUE
218,站食可以,1,1,25.015369,121.5325646,TRUE
219,以利泡泡冰,3,3,25.0153909,121.5326765,TRUE
220,峨嵋川菜餐廳,1,5,25.0154042,121.5325493,TRUE
221,鱷吐司 A Toast,9,1,25.015456,121.5326755,TRUE
222,劉記川味牛肉麵,1,9,25.0154945,121.5325315,TRUE
223,MK HALAL FOOD 巴基斯坦料理 (清真餐),13,1,25.0155814,121.5324978,TRUE
224,泰味鮮,7,1,25.0156061,121.5326131,TRUE
225,YoYo韓式飯捲,11,3,25.0156321,121.5324773,TRUE
226,重順川菜餐廳,1,5,25.0156322,121.5325953,TRUE
227,嵐迪義大利麵館,2,2,25.0156585,121.5326551,TRUE
228,金雞園,1,5,25.0157159,121.5326235,TRUE
229,藍家割包,1,2,25.0157411,121.5325808,TRUE
230,十二巷拉麵,5,5,25.0156951,121.5328123,TRUE
231,Cui Lian Kitchen 淬煉廚房,2,1,25.0156991,121.5327845,TRUE
232,好想見麵-公館店,1,2,25.0156037,121.5323493,TRUE
233,人性甜點,3,6,25.0156934,121.5322764,FALSE
234,靜壽司,5,8,25.0156535,121.532227,TRUE
235,吃煲喝好,1,8,25.0152052,121.532296,TRUE
236,何太守港式菠蘿包專賣店,3,4,25.0152126,121.532253,FALSE
237,豐田早餐店,9,1,25.015278,121.5321283,TRUE
238,德克士脆皮炸雞-台北台大店,10,2,25.015454,121.5323541,TRUE
239,泰悠 Thai Yo 個人鍋物（公館店）,7,1,25.0154545,121.5319226,TRUE
240,Mr. 拉麵公館店,5,5,25.0155988,121.5320582,TRUE
241,沙嗲士多,1,5,25.0156337,121.5320502,TRUE
242,麵匡匡拉麵食堂 台北公館店,5,5,25.0156683,121.5319433,TRUE
243,辛殿麻辣鍋｜公館店,1,8,25.0156058,121.531725,TRUE
244,赤神日式豬排公館店,5,10,25.0157941,121.5318107,TRUE
245,Second Floor 貳樓公館店,8,2,25.0157152,121.5315785,TRUE
246,母女的店,7,1,25.01589,121.531974,TRUE
247,五九麵館（公館店）,1,2,25.0158905,121.5319308,TRUE
248,銀座河粉蛋麵 SlNCE 1976(公館台大),7,6,25.0159719,121.5320656,TRUE
249,池記燒臘｜公館店,1,4,25.015992,121.532301,TRUE
250,巷子口麵攤,1,2,25.0160643,121.5322963,TRUE
251,醉紅小酌,1,5,25.0159309,121.532329,TRUE
252,大福利排骨大王 公館店,1,10,25.0159912,121.5323101,TRUE
253,JJ‘s POKE & CAFE 3号店,4,2,25.015906,121.531735,TRUE
254,池先生 kopitiam premium (公館店),7,10,25.015976,121.5317859,TRUE
255,潮味決‧湯滷專門店 台北公館分社,1,13,25.0160795,121.5319053,TRUE
256,台南意麵 羊肉乾麵,1,2,25.0163096,121.5323399,TRUE
257,如來素食樂園,6,3,25.0162873,121.5319117,TRUE
258,花漾薇漫餐廳,2,2,25.016115,121.531526,TRUE
259,巴生仔大馬料理店,7,10,25.0160743,121.5316525,TRUE
260,小螺波 公館店 - 台灣螺螄粉第一品牌,1,12,25.0161115,121.5317046,TRUE
261,桃源街石記麵館,1,9,25.0160403,121.5316126,TRUE
262,bb.q CHICKEN公館店,10,2,25.0158698,121.5314269,TRUE
263,首爾之家,11,3,25.0159805,121.5313803,TRUE
264,咪莉奶奶手工餅乾,3,6,25.0160674,121.5313581,FALSE
265,海山雞肉飯,1,14,25.015895,121.5313092,TRUE
266,泰品泰式雲南料理,7,9,25.0159783,121.5311988,TRUE
267,豪季水餃專賣店 (汀州店),1,15,25.0160602,121.531107,TRUE
268,池姐姐 新馬泰料理,7,5,25.0160603,121.5310876,TRUE
269,尚家香雲南美味麵食館,1,2,25.0161547,121.5309498,TRUE
270,池上木片便當汀州店,1,10,25.0160039,121.530676,TRUE
271,匠十三滷肉飯,1,5,25.0158548,121.5308682,TRUE
272,香鄉麵食館,1,2,25.0162163,121.5308817,TRUE
273,人从众 台北公館店,8,4,25.016405,121.5306139,TRUE
274,深夜未歸-公館店,12,1,25.0164363,121.5305416,TRUE
275,汀州路麵線,1,2,25.0164513,121.5304663,TRUE
276,拉亞漢堡 北市汀州三總,9,1,25.0165844,121.5304255,TRUE
277,晨間廚房早午餐中正台大店/蛋餅/早餐/麵/公館美食,9,1,25.0165377,121.5306508,TRUE
278,Mr. 雪腐 公館店,3,3,25.0166544,121.5304567,TRUE
279,擱再來海鮮快炒店,1,5,25.0166118,121.5306901,TRUE
280,Este día 這一天異國廚房 古巴三明治（台北總店）,13,3,25.0167308,121.5305679,TRUE
281,延三溫體牛—黃記,1,5,25.0167759,121.530622,TRUE
282,Lazy徠集手工法式甜點公館店,3,6,25.0168342,121.532618,FALSE
283,阿布都中東清真料理Abdu Arabian Cuisine,13,4,25.0167855,121.5327968,TRUE
284,瓦崎燒烤火鍋 公館店－火烤兩吃 燒烤燒肉 火鍋 吃到飽 生啤無限暢飲 聚餐 老字號湯頭 麻辣湯底 哈根達斯 推薦 好評 高CP值 好吃 價格 頂級火鍋 網紅網友首選 優質,1,8,25.0167658,121.5329196,TRUE
285,宮綺火鍋-大安熱門火鍋|公館特色火鍋|人氣火鍋|海鮮火鍋|平價火鍋|在地推薦火鍋|麻辣火鍋|大份量主餐火鍋,1,8,25.016808,121.532849,TRUE
286,雲香亭,7,2,25.0168676,121.532937,TRUE
287,Popeyes Chicken 台大公館店,10,2,25.0170553,121.5323589,TRUE
288,埃及沙威瑪王,13,1,25.0171503,121.5321311,TRUE
289,すき家公館,5,9,25.0174029,121.5319597,TRUE
290,一之軒 公館店,3,6,25.0178055,121.5314915,FALSE
291,莉莎小姐義式冰淇淋Gelateria da Lisa,3,3,25.0179467,121.5312521,FALSE
292,小鹿亭,5,13,25.0181622,121.5311302,TRUE
293,小原田日本料理 公館店,5,13,25.0182433,121.5311009,TRUE
294,孫東寶牛排大安羅斯福店,8,4,25.0182539,121.531046,TRUE
295,ト乘輕食滷味 新生南店,1,13,25.0175762,121.5332365,TRUE
296,Sushi Express NTU Branch,5,8,25.018011,121.5333137,TRUE
297,麥當勞-台北新生餐廳,10,3,25.01821,121.5333445,TRUE
298,Pain de KAI 可為烘焙 台大店/公館麵包/可麗露禮盒,3,6,25.018893,121.533486,FALSE
299,臺一牛奶大王,3,3,25.0189836,121.5335137,TRUE
300,光一肆號,2,2,25.0192483,121.5335505,TRUE
301,豬ㄟ早午餐,9,1,25.0194869,121.5335257,TRUE
302,鳳城燒臘粵菜,1,4,25.0202791,121.5338184,TRUE
303,大聲公 台大牛肉麵店,1,9,25.0206671,121.5338691,TRUE
304,小林阿盛壽司,5,8,25.0170754,121.5325192,TRUE
305,上賀麵食館,1,5,25.0171498,121.5325444,TRUE
306,金湯匙豆花坊 素養生蔬食,6,5,25.0171946,121.5325599,TRUE
307,小飯廳,1,1,25.0172234,121.5325649,TRUE
308,七里亭,1,1,25.017334,121.532586,TRUE
309,豪香熱炒,1,5,25.017332,121.532767,TRUE
310,皇牌正港味餐廳（公館店）,1,4,25.0173595,121.5327958,TRUE
311,Chillken,8,1,25.017348,121.532916,TRUE
312,俄羅斯城堡,15,1,25.017511,121.5325407,TRUE
313,梁社漢排骨-台大店,1,10,25.0175705,121.5328296,TRUE
314,八方雲集 (台大店),1,15,25.0175507,121.5327969,TRUE
315,福樂素食/原中一蔬食園臺大店,6,5,25.017659,121.532571,TRUE
316,好處餐酒館,2,2,25.0184093,121.5328582,TRUE
317,長樂拉麵,5,5,25.0188978,121.5329637,TRUE
318,瑪莉珍比薩 台大店,2,1,25.019024,121.53294,TRUE
319,韓庭州韓國料理,11,3,25.019137,121.53294,TRUE
320,好想吃冰 かき氷 日式蔬食 台大公館店 ( Vegetarian / Vegan meal ),3,3,25.019116,121.5327505,TRUE
321,芋芋甜點舖,3,6,25.0191114,121.5333061,TRUE
322,溏老鴨平價小火鍋,1,8,25.019571,121.5333658,TRUE
323,NoName無名咖哩 台大店,5,7,25.0196934,121.5334369,TRUE
324,左巴好室．好事,12,1,25.0195739,121.5326823,TRUE
325,柒食貳,1,10,25.0196601,121.5328335,TRUE
326,稻咖哩,5,7,25.0199922,121.5330537,TRUE
327,多多小吃,1,2,25.0199794,121.5328738,TRUE
328,霞飛驛歐法西餐,2,2,25.0200278,121.5334694,TRUE
329,璞田PureTime家庭料理,1,1,25.0201549,121.5334828,TRUE
330,丘丘麻糬商號,3,5,25.0204436,121.5335696,FALSE
331,樹下蘇活,12,1,25.0215041,121.5330301,TRUE
332,大葉麵食館,1,2,25.0182149,121.5316495,TRUE
333,藏冰閣,3,3,25.0182149,121.5316495,TRUE
334,鳳城燒臘粵菜 (百合店),1,4,25.0182149,121.5316495,TRUE
335,秘徑小食光,2,2,25.0182149,121.5316495,TRUE
336,滇味小館(台電大樓店)，近台電加羅林魚木,7,9,25.0182149,121.5316495,TRUE
337,厚食均衡飲食專賣店,1,10,25.0182149,121.5316495,TRUE
338,熊大牛肉麵,1,9,25.0182149,121.5316495,TRUE
339,老先覺功夫窯燒鍋台北公館店,1,8,25.0185073,121.5316982,TRUE
340,麥子磨麵台大店,5,5,25.0186545,121.5316985,TRUE
341,神燈搓一下,7,3,25.0188379,121.5317113,TRUE
342,越南清化河粉,7,6,25.0187075,121.5324874,TRUE
343,有意思居酒食堂,5,6,25.018732,121.532249,TRUE
344,草根早午餐 TOUCH WOOD,9,1,25.0194175,121.5318994,TRUE
345,小川西堂,1,2,25.0195493,121.5318648,TRUE
346,阿英滷肉飯,1,1,25.0195447,121.531956,TRUE
347,祝您行運,12,1,25.0196468,121.5316013,TRUE
348,笠原麵食館,1,2,25.0197764,121.5317996,TRUE
349,Henry&Cary手工巧克力店,3,6,25.0198428,121.5318343,FALSE
350,素德蔬食異國料理,6,3,25.0198711,121.5316641,TRUE
351,泰街頭｜Thai Street｜台北泰式料理｜不接受訂位,7,1,25.0197316,121.5321851,TRUE
352,主廚黛薇的印尼小廚/娜聖印尼商行 Chef Dewi Makanan Indonesia/Nasem Toko Indo,7,7,25.0198254,121.5326676,TRUE
353,龐德羅莎(台大店),8,4,25.013051,121.5367739,TRUE
354,Miss Energy 能量小姐 台北公館 直營門市,1,10,25.0147594,121.5337102,TRUE
355,鴉片粉圓,3,7,25.0144507,121.5336961,TRUE
